mensagem,categoria,prioridade,resposta_base
"Não recebi o código de verificação",cadastro,baixa,"Confira se todos os campos obrigatórios foram preenchidos. Verifique se o email já não está cadastrado."
"Email já cadastrado mas não fui eu",cadastro,baixa,"Confira se todos os campos obrigatórios foram preenchidos. Verifique se o email já não está cadastrado."
"Cadastro não finaliza",cadastro,baixa,"Confira se todos os campos obrigatórios foram preenchidos. Verifique se o email já não está cadastrado."
"Quero alterar meus dados cadastrais",cadastro,baixa,"Confira se todos os campos obrigatórios foram preenchidos. Verifique se o email já não está cadastrado."
"Erro no campo de telefone",cadastro,baixa,"Confira se todos os campos obrigatórios foram preenchidos. Verifique se o email já não está cadastrado."
"Nome de usuário indisponível",cadastro,baixa,"Confira se todos os campos obrigatórios foram preenchidos. Verifique se o email já não está cadastrado."
"CEP inválido no cadastro",cadastro,baixa,"Confira se todos os campos obrigatórios foram preenchidos. Verifique se o email já não está cadastrado."
"Data de nascimento não aceita",cadastro,baixa,"Confira se todos os campos obrigatórios foram preenchidos. Verifique se o email já não está cadastrado."
"Não consigo anexar documento",cadastro,baixa,"Confira se todos os campos obrigatórios foram preenchidos. Verifique se o email já não está cadastrado."
"Erro ao validar identidade",cadastro,baixa,"Confira se todos os campos obrigatórios foram preenchidos. Verifique se o email já não está cadastrado."
"Sistema recusa meu cadastro",cadastro,baixa,"Confira se todos os campos obrigatórios foram preenchidos. Verifique se o email já não está cadastrado."
"Cadastro de endereço não salva",cadastro,baixa,"Confira se todos os campos obrigatórios foram preenchidos. Verifique se o email já não está cadastrado."
"Quero excluir minha conta",cadastro,baixa,"Confira se todos os campos obrigatórios foram preenchidos. Verifique se o email já não está cadastrado."
"Não consigo vincular redes sociais",cadastro,baixa,"Confira se todos os campos obrigatórios foram preenchidos. Verifique se o email já não está cadastrado."
"Cadastro aprovado mas não acesso",cadastro,baixa,"Confira se todos os campos obrigatórios foram preenchidos. Verifique se o email já não está cadastrado."
"Quero saber mais sobre um produto",produto,baixa,"Acesse a página do produto para ver descrição completa, fotos e avaliações de outros clientes."
"O produto tem garantia?",produto,baixa,"Acesse a página do produto para ver descrição completa, fotos e avaliações de outros clientes."
"Este produto está disponível em outra cor?",produto,baixa,"Acesse a página do produto para ver descrição completa, fotos e avaliações de outros clientes."
"Qual o prazo de validade deste produto?",produto,baixa,"Acesse a página do produto para ver descrição completa, fotos e avaliações de outros clientes."
"Tem tabela de medidas?",produto,baixa,"Acesse a página do produto para ver descrição completa, fotos e avaliações de outros clientes."
"O produto é original?",produto,baixa,"Acesse a página do produto para ver descrição completa, fotos e avaliações de outros clientes."
"Quero ver fotos reais do produto",produto,baixa,"Acesse a página do produto para ver descrição completa, fotos e avaliações de outros clientes."
"Este produto tem avaliações boas?",produto,baixa,"Acesse a página do produto para ver descrição completa, fotos e avaliações de outros clientes."
"Compatibilidade do produto com meu aparelho",produto,baixa,"Acesse a página do produto para ver descrição completa, fotos e avaliações de outros clientes."
"Produto anunciado mas não encontro no site",produto,baixa,"Acesse a página do produto para ver descrição completa, fotos e avaliações de outros clientes."
"Ficha técnica do produto incompleta",produto,baixa,"Acesse a página do produto para ver descrição completa, fotos e avaliações de outros clientes."
"Material de fabricação do item",produto,baixa,"Acesse a página do produto para ver descrição completa, fotos e avaliações de outros clientes."
"Dimensões do produto não informadas",produto,baixa,"Acesse a página do produto para ver descrição completa, fotos e avaliações de outros clientes."
"Produto recomendado para minha idade",produto,baixa,"Acesse a página do produto para ver descrição completa, fotos e avaliações de outros clientes."
"Comparação entre dois produtos",produto,baixa,"Acesse a página do produto para ver descrição completa, fotos e avaliações de outros clientes."
"Manual de instruções do produto",produto,baixa,"Acesse a página do produto para ver descrição completa, fotos e avaliações de outros clientes."
"Política de troca deste item",produto,baixa,"Acesse a página do produto para ver descrição completa, fotos e avaliações de outros clientes."
"Origem e fabricante do produto",produto,baixa,"Acesse a página do produto para ver descrição completa, fotos e avaliações de outros clientes."
"Produtos similares mais baratos",produto,baixa,"Acesse a página do produto para ver descrição completa, fotos e avaliações de outros clientes."
"Aparece produto indisponível",estoque,média,"O produto pode estar momentaneamente sem estoque. Clique em Avise-me para ser notificado quando voltar."
"Quando volta o estoque?",estoque,média,"O produto pode estar momentaneamente sem estoque. Clique em Avise-me para ser notificado quando voltar."
"Produto esgotou enquanto eu comprava",estoque,média,"O produto pode estar momentaneamente sem estoque. Clique em Avise-me para ser notificado quando voltar."
"Tem previsão de reposição?",estoque,média,"O produto pode estar momentaneamente sem estoque. Clique em Avise-me para ser notificado quando voltar."
"Estoque do tamanho G acabou?",estoque,média,"O produto pode estar momentaneamente sem estoque. Clique em Avise-me para ser notificado quando voltar."
"Quero ser avisado quando chegar",estoque,média,"O produto pode estar momentaneamente sem estoque. Clique em Avise-me para ser notificado quando voltar."
"Reservar produto para retirada",estoque,média,"O produto pode estar momentaneamente sem estoque. Clique em Avise-me para ser notificado quando voltar."
"Lote vencido na prateleira",estoque,média,"O produto pode estar momentaneamente sem estoque. Clique em Avise-me para ser notificado quando voltar."
"Tem em alguma loja física?",estoque,média,"O produto pode estar momentaneamente sem estoque. Clique em Avise-me para ser notificado quando voltar."
"Produto sumiu do carrinho depois de esgotar",estoque,média,"O produto pode estar momentaneamente sem estoque. Clique em Avise-me para ser notificado quando voltar."
"Estoque baixo mostra disponível",estoque,média,"O produto pode estar momentaneamente sem estoque. Clique em Avise-me para ser notificado quando voltar."
"Quantidade limitada por cliente",estoque,média,"O produto pode estar momentaneamente sem estoque. Clique em Avise-me para ser notificado quando voltar."
"Lote novo chegou mas não liberado",estoque,média,"O produto pode estar momentaneamente sem estoque. Clique em Avise-me para ser notificado quando voltar."
"Estoque reservado para troca",estoque,média,"O produto pode estar momentaneamente sem estoque. Clique em Avise-me para ser notificado quando voltar."
"Diferença de estoque site e loja",estoque,média,"O produto pode estar momentaneamente sem estoque. Clique em Avise-me para ser notificado quando voltar."
"Produto consta mas fornecedor sem",estoque,média,"O produto pode estar momentaneamente sem estoque. Clique em Avise-me para ser notificado quando voltar."
"Estoque não atualiza no site",estoque,média,"O produto pode estar momentaneamente sem estoque. Clique em Avise-me para ser notificado quando voltar."
"Quero comprar mas não tem previsão",estoque,média,"O produto pode estar momentaneamente sem estoque. Clique em Avise-me para ser notificado quando voltar."
"Produto esgotado na promoção",estoque,média,"O produto pode estar momentaneamente sem estoque. Clique em Avise-me para ser notificado quando voltar."
"Não consigo adicionar item ao carrinho",carrinho,média,"Limpe o cache do navegador e tente novamente. Verifique se o produto ainda está disponível."
"Meu carrinho está vazio sozinho",carrinho,média,"Limpe o cache do navegador e tente novamente. Verifique se o produto ainda está disponível."
"Itens duplicados no carrinho",carrinho,média,"Limpe o cache do navegador e tente novamente. Verifique se o produto ainda está disponível."
"Quero remover item do carrinho",carrinho,média,"Limpe o cache do navegador e tente novamente. Verifique se o produto ainda está disponível."
"Carrinho não atualiza quantidade",carrinho,média,"Limpe o cache do navegador e tente novamente. Verifique se o produto ainda está disponível."
"Erro ao aplicar cupom no carrinho",carrinho,média,"Limpe o cache do navegador e tente novamente. Verifique se o produto ainda está disponível."
"Valor do frete não aparece no carrinho",carrinho,média,"Limpe o cache do navegador e tente novamente. Verifique se o produto ainda está disponível."
"Carrinho some quando faço login",carrinho,média,"Limpe o cache do navegador e tente novamente. Verifique se o produto ainda está disponível."
"Quero salvar itens para depois",carrinho,média,"Limpe o cache do navegador e tente novamente. Verifique se o produto ainda está disponível."
"Carrinho não aceita meu CEP",carrinho,média,"Limpe o cache do navegador e tente novamente. Verifique se o produto ainda está disponível."
"Cálculo do carrinho errado",carrinho,média,"Limpe o cache do navegador e tente novamente. Verifique se o produto ainda está disponível."
"Desconto sumiu do carrinho",carrinho,média,"Limpe o cache do navegador e tente novamente. Verifique se o produto ainda está disponível."
"Botão finalizar não funciona",carrinho,média,"Limpe o cache do navegador e tente novamente. Verifique se o produto ainda está disponível."
"Carrinho compartilhado não funciona",carrinho,média,"Limpe o cache do navegador e tente novamente. Verifique se o produto ainda está disponível."
"Itens adicionados sozinhos",carrinho,média,"Limpe o cache do navegador e tente novamente. Verifique se o produto ainda está disponível."
"Carrinho travou na finalização",carrinho,média,"Limpe o cache do navegador e tente novamente. Verifique se o produto ainda está disponível."
"Minha lista de desejos sumiu",carrinho,média,"Limpe o cache do navegador e tente novamente. Verifique se o produto ainda está disponível."
"Erro ao mover para carrinho",carrinho,média,"Limpe o cache do navegador e tente novamente. Verifique se o produto ainda está disponível."
"Carrinho perdeu itens salvos",carrinho,média,"Limpe o cache do navegador e tente novamente. Verifique se o produto ainda está disponível."
"Paguei via Pix e não confirmou",pagamento,crítica,"Verifique o status do pagamento no seu banco. O Pix pode levar alguns minutos para compensar. Se o problema persistir, entre em contato com o suporte financeiro."
"Boleto pago ainda consta como pendente",pagamento,crítica,"Verifique o status do pagamento no seu banco. O Pix pode levar alguns minutos para compensar. Se o problema persistir, entre em contato com o suporte financeiro."
"Cartão recusado na finalização",pagamento,crítica,"Verifique o status do pagamento no seu banco. O Pix pode levar alguns minutos para compensar. Se o problema persistir, entre em contato com o suporte financeiro."
"Erro ao processar pagamento",pagamento,crítica,"Verifique o status do pagamento no seu banco. O Pix pode levar alguns minutos para compensar. Se o problema persistir, entre em contato com o suporte financeiro."
"Desconto não aplicado no pagamento",pagamento,crítica,"Verifique o status do pagamento no seu banco. O Pix pode levar alguns minutos para compensar. Se o problema persistir, entre em contato com o suporte financeiro."
"Pagamento duplicado no meu cartão",pagamento,crítica,"Verifique o status do pagamento no seu banco. O Pix pode levar alguns minutos para compensar. Se o problema persistir, entre em contato com o suporte financeiro."
"Quero parcelar em mais vezes",pagamento,crítica,"Verifique o status do pagamento no seu banco. O Pix pode levar alguns minutos para compensar. Se o problema persistir, entre em contato com o suporte financeiro."
"Comprovante enviado mas pedido não liberado",pagamento,crítica,"Verifique o status do pagamento no seu banco. O Pix pode levar alguns minutos para compensar. Se o problema persistir, entre em contato com o suporte financeiro."
"Estorno não caiu na fatura",pagamento,crítica,"Verifique o status do pagamento no seu banco. O Pix pode levar alguns minutos para compensar. Se o problema persistir, entre em contato com o suporte financeiro."
"Paguei com boleto vencido sem querer",pagamento,crítica,"Verifique o status do pagamento no seu banco. O Pix pode levar alguns minutos para compensar. Se o problema persistir, entre em contato com o suporte financeiro."
"QR Code do Pix não funcionou",pagamento,crítica,"Verifique o status do pagamento no seu banco. O Pix pode levar alguns minutos para compensar. Se o problema persistir, entre em contato com o suporte financeiro."
"Pagamento via débito recusado",pagamento,crítica,"Verifique o status do pagamento no seu banco. O Pix pode levar alguns minutos para compensar. Se o problema persistir, entre em contato com o suporte financeiro."
"Pix feito mas pedido não atualiza",pagamento,crítica,"Verifique o status do pagamento no seu banco. O Pix pode levar alguns minutos para compensar. Se o problema persistir, entre em contato com o suporte financeiro."
"Cartão virtual não aceito",pagamento,crítica,"Verifique o status do pagamento no seu banco. O Pix pode levar alguns minutos para compensar. Se o problema persistir, entre em contato com o suporte financeiro."
"Cobrança indevida no cartão",pagamento,crítica,"Verifique o status do pagamento no seu banco. O Pix pode levar alguns minutos para compensar. Se o problema persistir, entre em contato com o suporte financeiro."
"Pagamento aprovado mas pedido cancelado",pagamento,crítica,"Verifique o status do pagamento no seu banco. O Pix pode levar alguns minutos para compensar. Se o problema persistir, entre em contato com o suporte financeiro."
"Pix agendado não compensou",pagamento,crítica,"Verifique o status do pagamento no seu banco. O Pix pode levar alguns minutos para compensar. Se o problema persistir, entre em contato com o suporte financeiro."
"Link de pagamento expirado",pagamento,crítica,"Verifique o status do pagamento no seu banco. O Pix pode levar alguns minutos para compensar. Se o problema persistir, entre em contato com o suporte financeiro."
"Demora para confirmar pagamento",pagamento,crítica,"Verifique o status do pagamento no seu banco. O Pix pode levar alguns minutos para compensar. Se o problema persistir, entre em contato com o suporte financeiro."
"Meu cupom não funciona",cupom,média,"Confira se o cupom foi digitado corretamente, se está dentro do prazo de validade e se o produto participa da promoção."
"Cupom expirou antes do prazo",cupom,média,"Confira se o cupom foi digitado corretamente, se está dentro do prazo de validade e se o produto participa da promoção."
"Cupom de primeira compra não aplica",cupom,média,"Confira se o cupom foi digitado corretamente, se está dentro do prazo de validade e se o produto participa da promoção."
"Código do cupom inválido",cupom,média,"Confira se o cupom foi digitado corretamente, se está dentro do prazo de validade e se o produto participa da promoção."
"Cupom não atinge valor mínimo",cupom,média,"Confira se o cupom foi digitado corretamente, se está dentro do prazo de validade e se o produto participa da promoção."
"Quero combinar cupons",cupom,média,"Confira se o cupom foi digitado corretamente, se está dentro do prazo de validade e se o produto participa da promoção."
"Cupom de frete grátis não funciona",cupom,média,"Confira se o cupom foi digitado corretamente, se está dentro do prazo de validade e se o produto participa da promoção."
"Cupom de influenciador não ativou",cupom,média,"Confira se o cupom foi digitado corretamente, se está dentro do prazo de validade e se o produto participa da promoção."
"Erro ao inserir cupom no checkout",cupom,média,"Confira se o cupom foi digitado corretamente, se está dentro do prazo de validade e se o produto participa da promoção."
"Cupom diz que já foi usado",cupom,média,"Confira se o cupom foi digitado corretamente, se está dentro do prazo de validade e se o produto participa da promoção."
"Promoção relâmpago cupom não entrou",cupom,média,"Confira se o cupom foi digitado corretamente, se está dentro do prazo de validade e se o produto participa da promoção."
"Cupom de aniversário não ativado",cupom,média,"Confira se o cupom foi digitado corretamente, se está dentro do prazo de validade e se o produto participa da promoção."
"Cupom de fidelidade sumiu",cupom,média,"Confira se o cupom foi digitado corretamente, se está dentro do prazo de validade e se o produto participa da promoção."
"Cupom de desconto não acumula",cupom,média,"Confira se o cupom foi digitado corretamente, se está dentro do prazo de validade e se o produto participa da promoção."
"Cupom de boas-vindas inválido",cupom,média,"Confira se o cupom foi digitado corretamente, se está dentro do prazo de validade e se o produto participa da promoção."
"Cupom não aparece na finalização",cupom,média,"Confira se o cupom foi digitado corretamente, se está dentro do prazo de validade e se o produto participa da promoção."
"Cupom é de categoria específica",cupom,média,"Confira se o cupom foi digitado corretamente, se está dentro do prazo de validade e se o produto participa da promoção."
"Erro cupom expirado na black friday",cupom,média,"Confira se o cupom foi digitado corretamente, se está dentro do prazo de validade e se o produto participa da promoção."
"Cupom resgatado mas sem efeito",cupom,média,"Confira se o cupom foi digitado corretamente, se está dentro do prazo de validade e se o produto participa da promoção."
"Onde vejo meus pedidos?",pedido,alta,"Acesse Meus Pedidos no menu principal. Lá você encontra o status e detalhes de todas as suas compras."
"Pedido não aparece no histórico",pedido,alta,"Acesse Meus Pedidos no menu principal. Lá você encontra o status e detalhes de todas as suas compras."
"Quero cancelar um pedido",pedido,alta,"Acesse Meus Pedidos no menu principal. Lá você encontra o status e detalhes de todas as suas compras."
"Pedido atrasado sem atualização",pedido,alta,"Acesse Meus Pedidos no menu principal. Lá você encontra o status e detalhes de todas as suas compras."
"Status do pedido não muda",pedido,alta,"Acesse Meus Pedidos no menu principal. Lá você encontra o status e detalhes de todas as suas compras."
"Pedido foi entregue mas não recebi",pedido,alta,"Acesse Meus Pedidos no menu principal. Lá você encontra o status e detalhes de todas as suas compras."
"Quero alterar endereço de entrega do pedido",pedido,alta,"Acesse Meus Pedidos no menu principal. Lá você encontra o status e detalhes de todas as suas compras."
"Pedido consta como entregue no site mas não chegou",pedido,alta,"Acesse Meus Pedidos no menu principal. Lá você encontra o status e detalhes de todas as suas compras."
"Pedido sumiu do sistema",pedido,alta,"Acesse Meus Pedidos no menu principal. Lá você encontra o status e detalhes de todas as suas compras."
"Comprei mas não recebi confirmação",pedido,alta,"Acesse Meus Pedidos no menu principal. Lá você encontra o status e detalhes de todas as suas compras."
"Número do pedido inválido",pedido,alta,"Acesse Meus Pedidos no menu principal. Lá você encontra o status e detalhes de todas as suas compras."
"Pedido em processamento há dias",pedido,alta,"Acesse Meus Pedidos no menu principal. Lá você encontra o status e detalhes de todas as suas compras."
"Nota fiscal do pedido não emitida",pedido,alta,"Acesse Meus Pedidos no menu principal. Lá você encontra o status e detalhes de todas as suas compras."
"Pedido separado em duas entregas",pedido,alta,"Acesse Meus Pedidos no menu principal. Lá você encontra o status e detalhes de todas as suas compras."
"Comprei como visitante não acho",pedido,alta,"Acesse Meus Pedidos no menu principal. Lá você encontra o status e detalhes de todas as suas compras."
"Pedido faturou mas não enviou",pedido,alta,"Acesse Meus Pedidos no menu principal. Lá você encontra o status e detalhes de todas as suas compras."
"Pedido com itens faltando",pedido,alta,"Acesse Meus Pedidos no menu principal. Lá você encontra o status e detalhes de todas as suas compras."
"Alterar forma de pagamento do pedido",pedido,alta,"Acesse Meus Pedidos no menu principal. Lá você encontra o status e detalhes de todas as suas compras."
"Refazer pedido cancelado",pedido,alta,"Acesse Meus Pedidos no menu principal. Lá você encontra o status e detalhes de todas as suas compras."
"Meu pedido está parado na transportadora",entrega,alta,"Verifique o código de rastreio enviado por email. O prazo de entrega pode variar conforme a região. Acompanhe pelo site da transportadora."
"Onde fica meu código de rastreio?",entrega,alta,"Verifique o código de rastreio enviado por email. O prazo de entrega pode variar conforme a região. Acompanhe pelo site da transportadora."
"Entrega atrasada mais de 7 dias",entrega,alta,"Verifique o código de rastreio enviado por email. O prazo de entrega pode variar conforme a região. Acompanhe pelo site da transportadora."
"Rastreio não atualiza há dias",entrega,alta,"Verifique o código de rastreio enviado por email. O prazo de entrega pode variar conforme a região. Acompanhe pelo site da transportadora."
"Entregador não encontrou o endereço",entrega,alta,"Verifique o código de rastreio enviado por email. O prazo de entrega pode variar conforme a região. Acompanhe pelo site da transportadora."
"Quero retirar na loja ao invés de receber",entrega,alta,"Verifique o código de rastreio enviado por email. O prazo de entrega pode variar conforme a região. Acompanhe pelo site da transportadora."
"Produto veio com defeito no transporte",entrega,alta,"Verifique o código de rastreio enviado por email. O prazo de entrega pode variar conforme a região. Acompanhe pelo site da transportadora."
"Recebi produto errado",entrega,alta,"Verifique o código de rastreio enviado por email. O prazo de entrega pode variar conforme a região. Acompanhe pelo site da transportadora."
"Fizeram tentativa de entrega mas eu estava em casa",entrega,alta,"Verifique o código de rastreio enviado por email. O prazo de entrega pode variar conforme a região. Acompanhe pelo site da transportadora."
"PAC ou SEDEX qual o prazo?",entrega,alta,"Verifique o código de rastreio enviado por email. O prazo de entrega pode variar conforme a região. Acompanhe pelo site da transportadora."
"Rastreio diz entregue mas não recebi",entrega,alta,"Verifique o código de rastreio enviado por email. O prazo de entrega pode variar conforme a região. Acompanhe pelo site da transportadora."
"Encomenda extraviada na transportadora",entrega,alta,"Verifique o código de rastreio enviado por email. O prazo de entrega pode variar conforme a região. Acompanhe pelo site da transportadora."
"Frete caro para minha região",entrega,alta,"Verifique o código de rastreio enviado por email. O prazo de entrega pode variar conforme a região. Acompanhe pelo site da transportadora."
"Rastreio consta como rota errada",entrega,alta,"Verifique o código de rastreio enviado por email. O prazo de entrega pode variar conforme a região. Acompanhe pelo site da transportadora."
"Pedido voltou para o remetente",entrega,alta,"Verifique o código de rastreio enviado por email. O prazo de entrega pode variar conforme a região. Acompanhe pelo site da transportadora."
"Destinatário ausente mas não fui avisado",entrega,alta,"Verifique o código de rastreio enviado por email. O prazo de entrega pode variar conforme a região. Acompanhe pelo site da transportadora."
"Caixa de correio não comporta",entrega,alta,"Verifique o código de rastreio enviado por email. O prazo de entrega pode variar conforme a região. Acompanhe pelo site da transportadora."
"Encomenda parada na alfândega",entrega,alta,"Verifique o código de rastreio enviado por email. O prazo de entrega pode variar conforme a região. Acompanhe pelo site da transportadora."
"Transportadora não entrega domingo",entrega,alta,"Verifique o código de rastreio enviado por email. O prazo de entrega pode variar conforme a região. Acompanhe pelo site da transportadora."
"Quero cancelar minha compra",cancelamento,crítica,"Acesse Meus Pedidos e selecione Cancelar. Se o pedido já foi enviado, você precisará recusar a entrega ou devolver o produto."
"Cancelei mas ainda fui cobrado",cancelamento,crítica,"Acesse Meus Pedidos e selecione Cancelar. Se o pedido já foi enviado, você precisará recusar a entrega ou devolver o produto."
"Arrependimento quero devolver",cancelamento,crítica,"Acesse Meus Pedidos e selecione Cancelar. Se o pedido já foi enviado, você precisará recusar a entrega ou devolver o produto."
"Cancelamento não concluído",cancelamento,crítica,"Acesse Meus Pedidos e selecione Cancelar. Se o pedido já foi enviado, você precisará recusar a entrega ou devolver o produto."
"Prazo de cancelamento já passou?",cancelamento,crítica,"Acesse Meus Pedidos e selecione Cancelar. Se o pedido já foi enviado, você precisará recusar a entrega ou devolver o produto."
"Quero trocar por outro produto",cancelamento,crítica,"Acesse Meus Pedidos e selecione Cancelar. Se o pedido já foi enviado, você precisará recusar a entrega ou devolver o produto."
"Reembolso não caiu depois do cancelamento",cancelamento,crítica,"Acesse Meus Pedidos e selecione Cancelar. Se o pedido já foi enviado, você precisará recusar a entrega ou devolver o produto."
"Cancelei um item mas pedido enviado completo",cancelamento,crítica,"Acesse Meus Pedidos e selecione Cancelar. Se o pedido já foi enviado, você precisará recusar a entrega ou devolver o produto."
"Desisti da compra mas já despachou",cancelamento,crítica,"Acesse Meus Pedidos e selecione Cancelar. Se o pedido já foi enviado, você precisará recusar a entrega ou devolver o produto."
"Cancelamento por falta de estoque",cancelamento,crítica,"Acesse Meus Pedidos e selecione Cancelar. Se o pedido já foi enviado, você precisará recusar a entrega ou devolver o produto."
"Reembolso parcial divergente",cancelamento,crítica,"Acesse Meus Pedidos e selecione Cancelar. Se o pedido já foi enviado, você precisará recusar a entrega ou devolver o produto."
"Cancelamento automático não solicitado",cancelamento,crítica,"Acesse Meus Pedidos e selecione Cancelar. Se o pedido já foi enviado, você precisará recusar a entrega ou devolver o produto."
"Devolução não autorizada pelo sistema",cancelamento,crítica,"Acesse Meus Pedidos e selecione Cancelar. Se o pedido já foi enviado, você precisará recusar a entrega ou devolver o produto."
"Prazo de devolução encerrado",cancelamento,crítica,"Acesse Meus Pedidos e selecione Cancelar. Se o pedido já foi enviado, você precisará recusar a entrega ou devolver o produto."
"Código de devolução não gerado",cancelamento,crítica,"Acesse Meus Pedidos e selecione Cancelar. Se o pedido já foi enviado, você precisará recusar a entrega ou devolver o produto."
"Quero desistir da troca",cancelamento,crítica,"Acesse Meus Pedidos e selecione Cancelar. Se o pedido já foi enviado, você precisará recusar a entrega ou devolver o produto."
"Produto devolvido mas sem retorno",cancelamento,crítica,"Acesse Meus Pedidos e selecione Cancelar. Se o pedido já foi enviado, você precisará recusar a entrega ou devolver o produto."
"Cancelamento de compra internacional",cancelamento,crítica,"Acesse Meus Pedidos e selecione Cancelar. Se o pedido já foi enviado, você precisará recusar a entrega ou devolver o produto."
"Arrependimento pós black friday",cancelamento,crítica,"Acesse Meus Pedidos e selecione Cancelar. Se o pedido já foi enviado, você precisará recusar a entrega ou devolver o produto."
"Código de rastreio não chegou por email",entrega,alta,"Verifique o código de rastreio enviado por email. O prazo de entrega pode variar conforme a região. Acompanhe pelo site da transportadora."
"Onde consulto o código de rastreamento",entrega,alta,"Verifique o código de rastreio enviado por email. O prazo de entrega pode variar conforme a região. Acompanhe pelo site da transportadora."
"Rastreio do pedido não funciona no site",entrega,alta,"Verifique o código de rastreio enviado por email. O prazo de entrega pode variar conforme a região. Acompanhe pelo site da transportadora."
"Não localizo meu código de rastreio",entrega,alta,"Verifique o código de rastreio enviado por email. O prazo de entrega pode variar conforme a região. Acompanhe pelo site da transportadora."
"Código de rastreio inválido",entrega,alta,"Verifique o código de rastreio enviado por email. O prazo de entrega pode variar conforme a região. Acompanhe pelo site da transportadora."
"Rastreio mostra status errado",entrega,alta,"Verifique o código de rastreio enviado por email. O prazo de entrega pode variar conforme a região. Acompanhe pelo site da transportadora."
"Site da transportadora não encontra meu código",entrega,alta,"Verifique o código de rastreio enviado por email. O prazo de entrega pode variar conforme a região. Acompanhe pelo site da transportadora."
"Rastreamento parado na mesma cidade há dias",entrega,alta,"Verifique o código de rastreio enviado por email. O prazo de entrega pode variar conforme a região. Acompanhe pelo site da transportadora."
"Código de rastreio não atualiza status",entrega,alta,"Verifique o código de rastreio enviado por email. O prazo de entrega pode variar conforme a região. Acompanhe pelo site da transportadora."
"Perdi o email com código de rastreamento",entrega,alta,"Verifique o código de rastreio enviado por email. O prazo de entrega pode variar conforme a região. Acompanhe pelo site da transportadora."
"Rastreio diz que foi entregue mas não foi",entrega,alta,"Verifique o código de rastreio enviado por email. O prazo de entrega pode variar conforme a região. Acompanhe pelo site da transportadora."
"Acompanhamento de entrega não disponível",entrega,alta,"Verifique o código de rastreio enviado por email. O prazo de entrega pode variar conforme a região. Acompanhe pelo site da transportadora."
"Rastreio mostra destinatário desconhecido",entrega,alta,"Verifique o código de rastreio enviado por email. O prazo de entrega pode variar conforme a região. Acompanhe pelo site da transportadora."
"Objeto postado mas sem atualização no rastreio",entrega,alta,"Verifique o código de rastreio enviado por email. O prazo de entrega pode variar conforme a região. Acompanhe pelo site da transportadora."
"Código de rastreio diz que voltou ao remetente",entrega,alta,"Verifique o código de rastreio enviado por email. O prazo de entrega pode variar conforme a região. Acompanhe pelo site da transportadora."
